cell,umax,obstacles,sweep,sweep_var,tol,admm_max_iter,scp_iter,seed,cos_AD,rel_l2_AD,sign_AD,descent_AD,cos_FD,rel_l2_FD,sign_FD,descent_FD,gnorm,conv_error,num_iter,admm_iters_last,eq_viol,ineq_viol,n_active,n_active_box,n_active_obs,cos_AD_FD_tight,fwd_ms,bwd_ms
C2_tight_off,0.1,0,admm_iter,10,1e-10,10,15,0,0.9999407067785263,0.23340455556652906,1.0,1.0,0.9999415199772106,0.23290660225876267,1.0,1.0,64.14824835710989,0.010850038707232418,15,10.0,0.012895752674009092,0.21294067238360642,27.0,27.0,0.0,0.9999999933019592,nan,273.8800151273608
C2_tight_off,0.1,0,admm_iter,10,1e-10,10,15,1,0.999994120535086,0.36518735554543985,0.8571428571428571,1.0,0.9999941871595697,0.3646272081006908,0.7142857142857143,1.0,171.19683376692714,0.02515478909386107,15,10.0,0.033337327409329265,0.6490727849087229,22.0,22.0,0.0,0.9999999995616202,nan,273.8800151273608
C2_tight_off,0.1,0,admm_iter,10,1e-10,10,15,2,0.9999943707601345,0.3258324989848304,1.0,1.0,0.9999945144009171,0.3250896425842449,1.0,1.0,140.26865605365882,0.02078147406026784,15,10.0,0.026545129587633314,0.49552431568681343,27.0,27.0,0.0,0.9999999987825928,nan,273.8800151273608
C2_tight_off,0.1,0,admm_iter,10,1e-10,10,15,3,0.999998141803297,0.013198355406160284,1.0,1.0,0.9999976093369689,0.013380882904425434,1.0,1.0,16.598755914832356,0.0010747970632795194,15,10.0,0.0013857124110858892,0.018745474832844625,28.0,28.0,0.0,0.9999988348705178,nan,273.8800151273608
C2_tight_off,0.1,0,admm_iter,25,1e-10,25,15,0,0.9999987214391378,0.03771284659924055,1.0,1.0,0.9999988339435654,0.037088247723636336,1.0,1.0,80.50587961094188,0.0034291945092139453,15,25.0,0.0016166557032175,0.029113434685041212,27.0,27.0,0.0,0.9999999933019592,nan,607.102039270103
C2_tight_off,0.1,0,admm_iter,25,1e-10,25,15,1,0.9999998303702731,0.08800879675042672,0.8571428571428571,1.0,0.9999998411662733,0.08720411929217733,0.7142857142857143,1.0,245.94310621208703,0.012474852373863143,15,25.0,0.007446199856966882,0.1546955550036808,22.0,22.0,0.0,0.9999999995616202,nan,607.102039270103
C2_tight_off,0.1,0,admm_iter,25,1e-10,25,15,2,0.9999998489446668,0.07298045939757489,1.0,1.0,0.9999998719974853,0.07195909200945637,1.0,1.0,192.87463057432632,0.00939471577494247,15,25.0,0.005372550858243252,0.10625307126678304,27.0,27.0,0.0,0.9999999987825928,nan,607.102039270103
C2_tight_off,0.1,0,admm_iter,25,1e-10,25,15,3,0.9999999995297997,6.791009135043573e-05,1.0,1.0,0.999998844082063,0.0015343740103605221,1.0,1.0,16.817362453694933,2.9426923950255646e-05,15,25.0,2.0732595751512806e-05,0.0001475094471560523,28.0,28.0,0.0,0.9999988348705178,nan,607.102039270103
C2_tight_off,0.1,0,admm_iter,50,1e-10,50,15,0,0.9999999999999998,6.790372893695988e-07,1.0,1.0,0.9999999932999233,0.0006575664304617152,1.0,1.0,83.65819226592187,1.2233509093066697e-07,15,50.0,2.7299754327351458e-06,5.739068664745162e-10,27.0,27.0,0.0,0.9999999933019592,nan,517.745153978467
C2_tight_off,0.1,0,admm_iter,50,1e-10,50,15,1,1.0000000000000004,3.148640094437197e-08,1.0,1.0,0.9999999995616181,0.0008827528722315322,0.8571428571428571,1.0,269.6765484574058,5.2269737468857436e-08,15,50.0,2.1557143153492557e-06,1.1177983011423365e-07,22.0,22.0,0.0,0.9999999995616202,nan,517.745153978467
