update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv,fwd_rs_max,fwd_comp_max
13,39.070742577901775,35.095641736279575,-0.7086257332995813,0.00014502810893146645,0.00023543554550586876,64.73701667785645,24,,,,,0.0009989720361183174,31,0,0.00023901539653388155,0.011499975825672104
14,7.1284354298027255,3.113942357707993,-0.6249776205011326,-0.18193035211360087,-0.14715930708573977,12.225217342376709,0,,,,,0.0007511772667399552,3,0,9.068629386543847e-05,1.3552527156068805e-16
15,35.27192796049288,14.213062318261352,-0.6297321003849445,8.6833234572814e-05,8.640841438278812e-05,55.068254232406616,24,,,,,0.0009927553377835352,17,0,9.159827688057256e-05,0.000331044141284846
16,5.311022701481188,2.77105535464284,-0.7182072498688516,-0.38686623752325144,-0.34219731120113517,11.571497917175293,0,,,,,0.0008814314328928763,3,0,8.085519304512623e-05,3.922614203399032e-06
17,34.841422293235404,1.838778387708929,-0.7186604012307911,0.0001030385757272434,0.0001023979352888782,62.49720573425293,24,,,,,0.0009566054486756514,15,0,0.00011056414624255063,0.011252720576878067
18,4.410003999997163,2.5820951717650478,-0.7673764341335172,-0.5092115778552122,-0.46334834327116936,11.678040504455566,0,,,,,0.0008993708953308199,2,0,6.83323819219428e-05,1.3552527156068805e-16
19,35.23889881340004,5.584077140036109,-0.7046253761094985,0.00013272213174952974,0.00013207280800964227,65.5448067188263,24,,,,,0.0009535720580624574,21,0,0.00013528966314549023,0.0034073254079635988
20,4.0022426315234565,2.5209470464802544,-0.80360681801139,-0.5994811074991149,-0.5548314489590169,12.055634498596191,0,36.38961980200906,0.00017063629721014717,6,1,0.0006304399001795247,2,0,6.017445571038227e-05,1.3552527156068805e-16
21,32.4774629858365,5.865972622733655,-0.6388410942617258,7.506723061834197e-05,7.469997329190292e-05,72.15593934059143,24,,,,,0.0009172916727397951,40,1,0.00017230375804202797,0.0014325961337673728
22,3.2032526158871555,2.040389941844585,-0.8226307288923884,-0.6782508285484832,-0.6388410942867901,12.020506858825684,0,,,,,0.0007178297608630424,2,0,5.7731018889284336e-05,1.3552527156068805e-16
23,33.1399951705374,3.8942166225606547,-0.6299365366594201,1.1502394684947959e-05,3.262713602147915e-05,75.96191835403442,24,,,,,0.0009091903941964574,18,0,4.5399347809529967e-05,0.0012152113130271022
24,2.703081045121529,1.6165097998730624,-0.8122161131277763,-0.6694030505577606,-0.629936536806625,11.813525676727295,0,,,,,0.0007727767991360657,2,0,4.968862604237678e-05,1.3552527156068805e-16
25,33.582144927158616,7.804181740678547,-0.6866714298145558,0.00012529402979977178,0.0001246672471614252,69.65318369865417,24,,,,,0.0009962965589602746,16,0,0.0001321143023177236,0.0016909807171026263
