update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv,fwd_rs_max,fwd_comp_max
16,5.152633289578283,2.7377964142564473,-0.7200129029800963,-0.3966722493055328,-0.3518807695370103,12.934804916381836,0,,,,,0.0009063528793528675,3,0,7.982769737902018e-05,4.082976250797737e-06
17,34.75451694167999,5.989984210098659,-0.718682581524289,0.00019550829306169693,0.0001945517973649391,72.94601631164551,24,,,,,0.000985327938738012,21,0,0.00019831190686557057,0.003931843349022765
18,4.182714668277513,2.4740870356020186,-0.7660805108320705,-0.5138367323148847,-0.46820009938377094,12.215305805206299,0,,,,,0.0008338112392418662,2,0,6.59918062839715e-05,1.3552527156068805e-16
19,35.136638924226865,7.121704266765522,-0.7045289773898156,4.286687816357215e-05,4.26571094016559e-05,65.38367128372192,24,,,,,0.0009437863221450904,17,0,4.598810239408581e-05,0.03373024054120264
20,3.7255803697401393,2.362569967631432,-0.8050394484083458,-0.6123155855342302,-0.568338905803472,12.15272307395935,0,36.07368434034698,0.00012269047630819596,7,1,0.0008593321779764018,2,0,6.0710822861742564e-05,1.3552527156068805e-16
21,32.32588836492112,4.5542778466243545,-0.6430107206686937,4.105102965856755e-05,4.0850158622318666e-05,77.05777406692505,24,,,,,0.06300443702866197,23,1,0.00012515420706655077,0.28644861900780555
22,2.7927162499106157,1.7387425658561382,-0.8185689329883055,-0.6817252262138451,-0.643010720984746,12.345654726028442,0,,,,,0.0008562925197420634,2,0,5.370366177293029e-05,1.3552527156068805e-16
23,32.94273547355353,7.3738366774307265,-0.6230062970329888,9.675090847860446e-05,9.62081375124324e-05,77.41449236869812,24,,,,,0.0009817682504464353,23,0,0.00010598950987400104,0.0028312802418242536
24,2.2476637466386378,1.253347557415342,-0.801448628730951,-0.6593979629296065,-0.6201419578618388,12.51490831375122,0,,,,,0.0008211019415474974,2,0,4.220800520404744e-05,1.3552527156068805e-16
25,33.422498978602746,5.68596110739984,-0.6866573867815076,2.1649396735323734e-05,2.1542096057314275e-05,59.24268913269043,24,,,,,0.0009463756850682792,24,0,4.5524252568429624e-05,0.03680906381303133
26,1.6671112238565646,0.8010789362796559,-0.7939850761434348,-0.6826026363869424,-0.6474438550529591,12.374800205230713,0,,,,,0.0008803101399619262,2,0,3.0303763758232627e-05,1.3552527156068805e-16
27,34.058092763544934,90.64494324671873,-0.7388861332601349,-5.563596894742062e-06,-3.2843375181723644e-06,79.898024559021,24,,,,,0.21180711660233364,40,2,1.6364549373744189e-06,0.0010455026222422488
28,1.2953798842708792,0.49528380746194367,-0.7868496777481899,-0.679390819667907,-0.6444089465061014,12.44791054725647,0,,,,,0.0006064402179005723,2,0,2.411172244931592e-05,1.3552527156068805e-16
29,33.76727836261653,26.600164399867666,-0.6782868908256718,-7.774800142135163e-06,1.7967447030198258e-06,123.67126965522766,24,,,,,0.001594617057061598,40,1,2.0175774778748874e-05,0.000946386443392654
30,1.2073289842494257,0.42382980707795664,-0.7893477692749447,-0.6842972429050682,-0.6569795979641688,12.372840404510498,0,35.536292813339756,-0.0005620858788941696,6,0,0.0009352183846957907,2,0,2.2201684676481648e-05,1.3552527156068805e-16
31,34.56583541852946,14.01687261638633,-0.6749677164814287,-0.00028009674705775645,-3.196184555465109e-06,68.59958481788635,24,,,,,3.6400110270135864,39,1,4.324023155953986e-05,0.04547749696353942
32,0.9809154502412556,0.2604990350199744,-0.7800105928220102,-0.6810040547616323,-0.6480574111263802,12.44478464126587,0,,,,,0.0009979634005027813,2,0,1.7860550212578374e-05,1.3552527156068805e-16
33,36.03512891472035,13.05604013686769,-0.8228941693057727,0.0005491529183947463,0.0005464662733044579,175.05755591392517,24,,,,,0.015736620915399735,40,1,0.0005464662981047708,0.0427511825702129
34,1.3512952054834733,0.33575526474452677,-0.8423459977382783,-0.6773641720126693,-0.6559113278016266,12.781444311141968,0,,,,,0.0008123594078002505,2,0,2.0644001632819098e-05,1.3552527156068805e-16
35,33.183619036797154,15.775093091629534,-0.670174612670587,2.7180329681075754e-05,0.0006722662400822088,99.76565027236938,24,,,,,0.014232592809525449,40,1,0.0006751459493032004,0.05532320129834629
36,0.6567604199830165,0.08570768605393558,-0.7787107431157958,-0.6732181669015049,-0.6454679434664821,12.65921688079834,0,,,,,0.0008088358160318193,2,0,1.1833387987825184e-05,1.3552527156068805e-16
37,39.83818795927232,15.411056500499495,-0.8899974467858542,0.00015607470107514843,0.0001553111279840591,142.25262641906738,24,,,,,0.0014148419968408321,40,2,0.00016009735200866941,0.006858125084902283
38,0.9504425401982804,0.22353735144817852,-0.9058915178505942,-0.6760185476322087,-0.6577484620370182,12.352754831314087,0,,,,,0.0008085025472208268,2,0,1.3924792290898047e-05,1.3552527156068805e-16
39,35.14216609507022,14.618442056722436,-0.7304183787841925,6.368967777525825e-05,0.00017753543577436748,143.45648527145386,24,,,,,0.0009976633162680493,40,2,0.000179490489410075,0.02752550184335689
40,0.5018229256357118,0.04024058816884147,-0.7795847117680859,-0.6687854119213625,-0.6418146298674829,12.407857418060303,0,34.25959791065208,9.811888542543556e-05,8,1,0.0009472857641087407,2,0,9.961568230076878e-06,1.3552527156068805e-16
41,35.40586384298805,61.728201197396444,-0.7396444207006969,0.0013647587006546669,0.0013576410067613898,202.27112936973572,24,,,,,0.38159260220998015,40,7,0.0013578391419253424,0.04031021961918167
42,0.6370232845847161,0.023950805644438834,-0.7813388282400091,-0.6655627903971495,-0.6444051785718834,12.44012713432312,0,,,,,0.000712761814313595,2,0,1.2518371511949233e-05,1.3552527156068805e-16
43,36.19057337543207,16.843968601099583,-0.7435892536639093,0.0011414359539335672,0.0012094203831837236,187.25997829437256,24,,,,,0.02261026140327882,40,4,0.0012104443972872122,0.045939752204300334
44,0.5045050426074412,0.06726912059641948,-0.7998292938890361,-0.6657192895107904,-0.6414883632278325,12.271246910095215,0,,,,,0.0007744084711014954,2,0,1.10716258177046e-05,1.3552527156068805e-16
45,35.68121304973552,54.44947702342494,-0.7027843912056464,0.0019267890353530381,0.0019776810250097254,202.4595754146576,24,,,,,0.262129487599903,40,4,0.0019784119665196215,0.08105439218642174
46,0.48343011688542714,0.08419270059433852,-0.7857019034920558,-0.6678842513105192,-0.6416432870564954,12.129592418670654,0,,,,,0.0007234073434401467,2,0,1.1203429878148263e-05,1.3552527156068805e-16
47,32.730178799918,2.7934523000406504,-0.6299725171636672,1.5203792340878763e-05,4.365846993381606e-05,118.16178464889526,24,,,,,0.0032050538954939145,40,1,0.00011877659703343719,0.021908951438020907
48,0.3751410219962838,0.06694875906821188,-0.7670615732998105,-0.6650387516319092,-0.6299725171616457,11.912423133850098,0,,,,,0.0009235256284833016,2,0,9.703121658377611e-06,1.3552527156068805e-16
49,32.72774702715811,3.002685802445529,-0.6143813792111006,2.18505771241162e-05,6.549690992274648e-05,119.15396475791931,24,,,,,0.016834305895801482,40,1,6.982893728969343e-05,0.04691749182863018
50,0.3875875494341178,0.07741054497406845,-0.7594561307686938,-0.6504233309017959,-0.6143813792087218,12.567438840866089,0,34.14307181937808,-2.2390122618176633e-06,8,0,0.000962162805551503,2,0,1.5731025015952582e-05,1.3552527156068805e-16
51,33.33793481150108,17.722631814553598,-0.6386097523653478,0.00011209287128588485,0.00011151351272453702,107.68545269966125,24,,,,,0.8586798454297031,36,1,0.00012095366427904454,0.025807037280991693
52,0.37875417482675794,0.08711872897880307,-0.7644299735607416,-0.6651623128478068,-0.6368586953868958,12.34165620803833,0,,,,,0.0009589271624809437,2,0,1.014231623430728e-05,1.3552527156068805e-16
53,34.390925604007144,14.005336097209453,-0.729634404894185,-1.5001011650195295e-05,-3.248225586061082e-06,83.60561728477478,24,,,,,0.009595576352020907,40,2,2.3276817628259394e-05,0.006355761037420192
54,0.40548701684668115,0.10441439465495725,-0.7631413783777974,-0.6642516851510569,-0.6298270853095682,12.059849262237549,0,,,,,0.000858680441434001,2,0,9.0478305185826e-06,1.3552527156068805e-16
55,32.29134904365731,5.5002686906871565,-0.6200540995680315,3.416551895740749e-05,3.399416260585486e-05,141.38510608673096,24,,,,,0.0010711584476663372,40,1,4.097659811820509e-05,0.039569170280670085
56,0.40741124600405093,0.0999488891382319,-0.7531729659604147,-0.6542314419235091,-0.6200540995317982,11.950082540512085,0,,,,,0.0009720303040317291,1,0,2.7139397891340344e-05,1.3552527156068805e-16
57,34.126707689790436,4.54922398906425,-0.6902717254885518,7.487730689004213e-05,7.451071048603097e-05,96.78973579406738,24,,,,,0.0009690805987438988,24,0,7.88847987013683e-05,0.03094837246367567
58,0.43027662053216836,0.11106090552030186,-0.755434751094973,-0.6551883073029017,-0.6203593017960349,11.860374689102173,0,,,,,0.0007952451372763292,2,0,9.050883257533116e-06,1.3552527156068805e-16
59,33.78046758040771,34.69038615096312,-0.6416500746362745,5.164097344756424e-05,5.1386910892681215e-05,109.85009789466858,24,,,,,0.0022636997205078696,40,1,7.469592333442509e-05,0.12180903659945763
60,0.44627649004455056,0.11797347973913526,-0.7586309733228709,-0.6639997123401162,-0.6351304165572829,12.434104681015015,0,33.83043505400914,2.682511134377563e-05,8,1,0.0006826051547565437,2,0,7.849547563942849e-06,1.3552527156068805e-16
61,32.84254583334419,12.480337018228258,-0.6293155456908117,5.3316150783078164e-05,5.305302499925002e-05,94.55893731117249,24,,,,,1.54283993575965,30,1,5.827640605765425e-05,0.055430133964640846
62,0.4551837036634186,0.12000605034881827,-0.7546081383185099,-0.6536706672116352,-0.6188682689055858,12.279351234436035,0,,,,,0.0008642115338194645,2,0,2.5183377556303732e-05,1.3552527156068805e-16
63,34.119105929707956,4.918586363450384,-0.6896122100820428,-9.794462443979413e-06,-3.3516644404318896e-06,83.34737706184387,24,,,,,0.000981341085186993,38,0,1.3383129274235905e-05,0.020184497923523913
64,0.5325413501442712,0.15551938245361355,-0.7552535387224439,-0.6476744967035213,-0.6114621422466393,12.045448303222656,0,,,,,0.0007519443382492108,2,0,8.475152134868047e-06,1.3552527156068805e-16
65,33.56320132921293,1.838547093591961,-0.7191875911060717,2.4227109284291615e-05,2.4102230206879405e-05,81.91053915023804,24,,,,,0.0018779792421004249,40,1,2.9917394911136553e-05,0.0066480338749465165
66,0.49590101524198354,0.15379814112090792,-0.7574304372945133,-0.6640044815345221,-0.6303859865825698,12.863647222518921,0,,,,,0.0009468016077737174,2,0,1.9580349283288e-05,1.3552527156068805e-16
67,32.720932620590254,2.772260846169979,-0.6461722412038158,9.141926316735827e-06,9.084612288101646e-06,91.7853364944458,24,,,,,0.0009943051291119165,40,1,1.6401776554050814e-05,0.011247421913442832
68,0.5454803528152058,0.1509090004341355,-0.7489142441661631,-0.6404431197575835,-0.6048988287513275,12.791744709014893,0,,,,,0.000995934047731073,2,0,1.62874422758863e-05,1.3552527156068805e-16
69,31.112455878459432,7.615080837173314,-0.5635787657414566,9.03400882437122e-05,8.989775082468565e-05,153.3555417060852,24,,,,,0.001115279935028024,40,1,9.417639606692412e-05,0.11754638473283327
70,0.6321950646692907,0.1356086267704929,-0.7423185961950141,-0.6032175795721586,-0.5635787657399292,12.31540560722351,0,33.31733121451113,-2.2964198551633785e-06,8,0,0.0008097132205428514,2,0,7.848911254715318e-06,1.3552527156068805e-16
71,33.124839846795695,9.511040665761604,-0.6879771704433586,-5.498816453952671e-06,-1.4093682279003872e-06,109.25931668281555,24,,,,,1.5913134780412588,40,3,1.0830014635778398e-05,0.02922772583366758
72,0.5711479255739316,0.1620291613477922,-0.7400665292684376,-0.625381660355198,-0.5893482298428778,12.26172161102295,0,,,,,0.0008847806115040158,2,0,7.168632107035222e-06,1.3552527156068805e-16
73,31.774759556541795,6.385665614858196,-0.6864617111710127,-2.1237644061145033e-06,-2.14617533256245e-06,107.77982378005981,24,,,,,0.022930829431188016,40,1,5.255738956259936e-06,0.006491643917296805
74,0.5925535234058816,0.15668522094128717,-0.7367210277305161,-0.6063288975939642,-0.5676834859733393,12.721691131591797,0,,,,,0.0006114588728640402,2,0,7.215444885910749e-06,1.3552527156068805e-16
75,32.553991830340394,8.73575912124667,-0.6477165252255086,5.200205396516111e-05,5.167092169211518e-05,108.70800876617432,24,,,,,0.020120588709568343,40,1,6.448790183193241e-05,0.0063150175991307945
76,0.5607811057167517,0.14702110683712272,-0.7296719708242663,-0.6023678283187404,-0.5652190363849345,12.755770683288574,0,,,,,0.0007981459215315422,2,0,6.709189932063708e-06,1.3552527156068805e-16
77,33.17325075012014,3.4202025294267884,-0.6414267834695937,4.8349237767641995e-05,4.803492907579088e-05,120.91692852973938,24,,,,,0.004536210092265916,40,1,6.355843461822107e-05,0.05298203557894135
78,0.6150620793439547,0.14770915147116165,-0.7221774297827066,-0.585309301268478,-0.547480287443407,12.27383041381836,0,,,,,0.0009640717391984077,3,0,6.413508819913538e-06,1.3552527156068805e-16
79,31.577048609443708,2.7338399987054167,-0.6381437091238555,-4.428309646531403e-06,-2.6843372411544664e-06,95.79553961753845,24,,,,,0.0009740006387075617,32,0,8.271078100228871e-06,0.0047612277539021
80,0.5530191607464074,0.14552816943638297,-0.7198093211313534,-0.5923296094012735,-0.5558243390867237,12.276944160461426,0,33.18104154618182,1.1676170577734624e-05,8,1,0.0006727167571293768,3,0,6.395300305883644e-06,2.180192857845209e-06
81,32.46521424562029,3.8950466418585057,-0.6171822187898879,2.4444063266071403e-05,3.581763253412973e-05,149.06590747833252,24,,,,,0.18758575210248435,40,3,4.4972489023800616e-05,0.018664884392573276
82,0.6139052281359043,0.13920138805438867,-0.7092152404404848,-0.5592541971091338,-0.5206956780011707,11.814098596572876,0,,,,,0.0008668836202604391,3,0,6.4133881023664685e-06,5.893961999096356e-06
83,32.30591577759068,1.7557179461494772,-0.6930890850044604,1.7334858030015887e-05,1.7250003231272792e-05,97.26702642440796,24,,,,,0.004443443187738233,40,1,8.473689630594805e-05,0.014090584355406263
84,0.5296322792774198,0.14688823469375456,-0.7102160148430063,-0.5786994084650485,-0.5420260483550177,11.77481484413147,0,,,,,0.0006910914746358077,3,0,6.422747029444231e-06,2.189458398653768e-06
85,31.822516379854534,1.6791618366798853,-0.6218161430422122,1.2970772280906928e-05,1.290594697977987e-05,99.19157409667969,24,,,,,0.006680678629095993,40,1,1.8162064309859487e-05,0.012764718460572274
86,0.5570158620748306,0.14194046655852585,-0.7028799448929628,-0.5579878005586743,-0.5203146591640821,12.428998231887817,0,,,,,0.0007841021869225417,3,0,6.612823576057636e-06,5.294109900900318e-06
87,31.31804801151565,1.2610396251091502,-0.5786234897001206,5.815571697986854e-06,5.783542793347252e-06,131.82543396949768,24,,,,,0.5623060227606113,40,2,0.00021720407729982315,0.899383965822079
88,0.5668300198967791,0.13706428587248878,-0.6980341929417069,-0.5472386882845723,-0.5093611620222835,12.148499011993408,0,,,,,0.0008955915748163068,3,0,6.6907708323737936e-06,2.2091768154132007e-06
89,32.01758459215483,1.5549131993149645,-0.5801509129196016,0.00010950534709386339,0.00010896948858085675,136.0325005054474,24,,,,,0.0016344565793542376,40,1,0.00011185068407543391,0.24242612722759835
90,0.566483845040849,0.1307827269813886,-0.6920560633515793,-0.5443442889844767,-0.507848327290082,12.01912260055542,0,32.90194333537207,2.3836498513563065e-05,9,1,0.0005124925743208719,3,0,6.277685732469784e-06,1.3552527156068805e-16
91,32.24335327586,4.489354847979326,-0.6752155140144076,-3.53964251398331e-06,-2.7028826006247897e-06,84.86128616333008,24,,,,,1.5857471483996477,40,2,0.0010941648721435417,0.10032632726339585
92,0.48025084662237383,0.14412950001882263,-0.6930064601643724,-0.5613157838984422,-0.5260477394636589,12.6287100315094,0,,,,,0.0006428610148191405,3,0,7.109185394593709e-06,1.3552527156068805e-16
93,32.81025517948401,50.370191182619486,-0.6557756094440867,4.4123257014971884e-05,4.3841000265554264e-05,124.99277997016907,24,,,,,0.07696825093247839,40,2,5.576098267213519e-05,0.008490214155313812
94,0.5333808492822578,0.13596398693191564,-0.6856551736986367,-0.5338592389917789,-0.4969323673905264,12.22643518447876,0,,,,,0.0009911682890884968,1,0,7.5672819467298424e-06,1.3552527156068805e-16
95,33.75364151892718,2.085944971210918,-0.7462689960644142,3.74329251721095e-05,3.7249784937909425e-05,108.60169529914856,24,,,,,0.6918562858493194,40,2,0.00015080272797796113,0.805878990012855
