update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv
57,32.912824832932245,26.67993971020562,-0.6902784250685932,9.29079208495942e-05,9.245338074848064e-05,426.6949288845062,24,,,,,0.0009779806236096533,59,0
58,0.41363555682248243,0.05567947078361524,-0.7140833103433721,-0.530553600778279,-0.48788501712241916,12.711547374725342,0,,,,,0.0008390807963699343,2,0
59,32.586318021683546,66.70379063917493,-0.6416543384763411,7.853647952582588e-05,7.8051209065233e-05,463.99811720848083,24,,,,,0.0017117525252881571,60,1
60,0.42174526270261353,0.05811664800535118,-0.7116996636864019,-0.5242401793160036,-0.48158520688621786,11.985063552856445,0,33.032586393604305,0.0003337032653482064,10,1,0.0007193166986679822,2,0
61,31.78669243449816,2.1036045629315887,-0.6293201623023281,0.00025811707785683424,0.0002568542795583495,101.8577733039856,24,,,,,0.1316693423794817,39,1
62,0.4667399164516731,0.05703064902850761,-0.69566633055803,-0.47522087078654174,-0.43133619587488203,12.49283742904663,0,,,,,0.0009976655679282825,2,0
63,33.800038919334625,15.430759299972577,-0.6896387856396913,0.00011244317048986208,0.00011185391756729501,93.90204215049744,24,,,,,0.0008783493979827028,29,0
64,0.5769044770278753,0.07808450539322044,-0.678481367890089,-0.4228104837687614,-0.37835425009047197,12.437116146087646,0,,,,,0.0008147056751264259,2,0
65,33.48098206653098,6.955922843788468,-0.7191907629561991,0.0002642528656571219,0.0002629600490948736,93.00659227371216,24,,,,,0.0009096022964448919,28,0
66,0.5895995413792045,0.056464387094384484,-0.6686450544687066,-0.39998978018668563,-0.35610395631097624,12.778281450271606,0,,,,,0.0008866698209252163,2,0
67,33.121063246561725,1.7112875420479918,-0.6461755468897392,0.0002524280860335404,0.000251193114634618,91.17197585105896,24,,,,,0.0009314258061328129,34,0
68,0.7853716378108881,0.053554281119036984,-0.6553431116410646,-0.3286950118296841,-0.2845515963733005,12.378344297409058,0,,,,,0.000982966421451334,3,0
69,31.46622365707775,11.122070289872603,-0.5227188593062033,0.00016899589337482368,0.00016816910315053946,84.59740853309631,24,,,,,0.0009816521302956072,28,0
70,0.9733980653819404,0.060788916031349276,-0.6472698982481611,-0.27001276988721545,-0.2273678165641675,12.72361159324646,0,34.603684657224605,0.00027315984654696646,11,1,0.0009700254870796815,3,0
71,34.01143132531713,1550.7377552180865,-0.6874720746094345,0.0003096221338536598,0.0003081073545895263,90.71437549591064,24,,,,,0.0037670301713811543,24,1
72,1.0193344536136102,0.059079971749648234,-0.6440294255311099,-0.26868616799350575,-0.22709177578265094,11.736498594284058,0,,,,,0.0009865044757231267,2,0
73,31.92073143254192,1.366246064378619,-0.684964720638326,0.00010330263641533666,0.00010279724308159821,90.2828049659729,24,,,,,0.0009946811658976262,37,0
74,0.6283515217221787,0.05209407608335791,-0.6617779415077214,-0.38064299280917013,-0.33740783958670706,12.381653308868408,0,,,,,0.0008669669487015863,2,0
75,32.280687522105445,44.958695169082034,-0.6477200101790648,0.0004845720067638837,0.00048220131354770324,316.4404408931732,24,,,,,0.007676824286295569,60,1
76,0.5419348400466591,0.054923331201000736,-0.6753827090613513,-0.42298290022997853,-0.3792967946690069,11.897513628005981,0,,,,,0.0007241188751139493,2,0
77,33.03489119695278,8.692660729954218,-0.6414272559915037,0.00027583383617280077,0.0002744843615420933,358.3638026714325,24,,,,,0.001166823760215041,60,1
78,0.4962982352722928,0.06267326479218055,-0.6853279931638103,-0.4578257100992529,-0.4144816780932947,11.288721323013306,0,,,,,0.0009833888793775308,2,0
