update,train_loss_mean,grad_norm,min_obs_margin,max_obs_margin,plan_margin_max,wall_clock_s,ep_step,eval_cost,eval_closest_margin,eval_n_grazing,eval_n_violations,fwd_conv_max,fwd_iters_max,fwd_n_nonconv
29,34.388536176827024,9.436214366417245,-0.6391616821947927,0.00013301927968700777,0.0001323685028807864,77.68739771842957,24,,,,,0.011720394605144208,15,1
30,2.4904347936161644,1.0362013485240837,-0.6766459656682839,-0.47197446376890007,-0.43638492782134497,11.811864852905273,0,36.00783198255893,0.00013819347774568502,7,1,0.0009601450613598295,2,0
31,34.68181716199626,21.02758295145241,-0.6759908978409594,0.00010664682963246186,0.00010612507347407263,61.89640235900879,24,,,,,0.09094773536062432,15,5
32,2.1969567763067266,0.738366406420965,-0.6650324104639855,-0.44050475302740444,-0.4055554572358888,12.237724781036377,0,,,,,0.0009751380758760142,2,0
33,33.58338947987228,2.8624439499297223,-0.6568885016914903,7.784633257723605e-05,7.746546269515875e-05,83.10709810256958,24,,,,,0.05974710645486485,15,4
34,2.00779351446157,0.479086832569563,-0.6650816835243729,-0.41419103612316555,-0.378983509591571,12.09180998802185,0,,,,,0.000865739201174498,2,0
35,32.90446714394685,877.7281074374956,-0.6178437363915972,0.0001789156976249595,0.0001779935258235943,76.70730805397034,24,,,,,0.04989996833318598,15,2
36,1.6085665953098578,0.3252212531843667,-0.6591665726706328,-0.39977443105327626,-0.3641858325666911,12.386250495910645,0,,,,,0.0005558524837544071,3,0
37,35.40718315006015,48.39973179236156,-0.6773368472781485,6.367898749592982e-05,6.336744264079375e-05,81.4977035522461,24,,,,,0.01638787374414831,15,2
38,2.08283400036236,0.3903340712245086,-0.6291020870205617,-0.2916654287644276,-0.25916412277974876,12.197714805603027,0,,,,,0.0007666226065816198,3,0
